	support	itemsets	length
0	0.214267	['F10']	1
1	0.331191	['F11']	1
2	0.660844	['F12']	1
3	0.643981	['F13']	1
4	0.329653	['F14']	1
5	0.331191	['F15']	1
6	0.660844	['F16']	1
7	0.331191	['F17']	1
8	0.331191	['F18']	1
9	0.660844	['F19']	1
10	0.660844	['F2']	1
11	0.660844	['F3']	1
12	0.660844	['F5']	1
13	0.331191	['F6']	1
14	0.660844	['F7']	1
15	0.660844	['F8']	1
16	0.660844	['F9']	1
17	0.180126	['I20']	1
18	0.180485	['I21']	1
19	0.180231	['I22']	1
20	0.180263	['I23']	1
21	0.179756	['I24']	1
22	0.180177	['I25']	1
23	0.180039	['I26']	1
24	0.179988	['I27']	1
25	0.180751	['I28']	1
26	0.180056	['I29']	1
27	0.179699	['I30']	1
28	0.179996	['I31']	1
29	0.180467	['I32']	1
30	0.180256	['I33']	1
31	0.180359	['I34']	1
32	0.180041	['I35']	1
33	0.180166	['I36']	1
34	0.180247	['I37']	1
35	0.180329	['I38']	1
36	0.180122	['I39']	1
37	0.214267	['F10', 'F12']	2
38	0.14809	['F10', 'F14']	2
39	0.214267	['F10', 'F16']	2
40	0.214267	['F10', 'F19']	2
41	0.214267	['F10', 'F2']	2
42	0.214267	['F10', 'F3']	2
43	0.214267	['F10', 'F5']	2
44	0.214267	['F10', 'F7']	2
45	0.214267	['F10', 'F8']	2
46	0.214267	['F10', 'F9']	2
47	0.331191	['F11', 'F12']	2
48	0.331191	['F11', 'F13']	2
49	0.331191	['F11', 'F15']	2
50	0.331191	['F11', 'F16']	2
51	0.331191	['F11', 'F17']	2
52	0.331191	['F11', 'F18']	2
53	0.331191	['F11', 'F19']	2
54	0.331191	['F11', 'F2']	2
55	0.331191	['F11', 'F3']	2
56	0.331191	['F11', 'F5']	2
57	0.331191	['F11', 'F6']	2
58	0.331191	['F11', 'F7']	2
59	0.331191	['F11', 'F8']	2
60	0.331191	['F11', 'F9']	2
61	0.331191	['F12', 'F13']	2
62	0.329653	['F12', 'F14']	2
63	0.331191	['F12', 'F15']	2
64	0.660844	['F12', 'F16']	2
65	0.331191	['F12', 'F17']	2
66	0.331191	['F12', 'F18']	2
67	0.660844	['F12', 'F19']	2
68	0.660844	['F12', 'F2']	2
69	0.660844	['F12', 'F3']	2
70	0.660844	['F12', 'F5']	2
71	0.331191	['F12', 'F6']	2
72	0.660844	['F12', 'F7']	2
73	0.660844	['F12', 'F8']	2
74	0.660844	['F12', 'F9']	2
75	0.331191	['F13', 'F15']	2
76	0.331191	['F13', 'F16']	2
77	0.331191	['F13', 'F17']	2
78	0.331191	['F13', 'F18']	2
79	0.331191	['F13', 'F19']	2
80	0.331191	['F13', 'F2']	2
81	0.331191	['F13', 'F3']	2
82	0.331191	['F13', 'F5']	2
83	0.331191	['F13', 'F6']	2
84	0.331191	['F13', 'F7']	2
85	0.331191	['F13', 'F8']	2
86	0.331191	['F13', 'F9']	2
87	0.145907	['F13', 'I20']	2
88	0.145805	['F13', 'I21']	2
89	0.146023	['F13', 'I22']	2
90	0.146219	['F13', 'I23']	2
91	0.145425	['F13', 'I24']	2
92	0.145992	['F13', 'I25']	2
93	0.145552	['F13', 'I26']	2
94	0.14574	['F13', 'I27']	2
95	0.146321	['F13', 'I28']	2
96	0.14578	['F13', 'I29']	2
97	0.145444	['F13', 'I30']	2
98	0.145844	['F13', 'I31']	2
99	0.146098	['F13', 'I32']	2
100	0.145896	['F13', 'I33']	2
101	0.146043	['F13', 'I34']	2
102	0.145727	['F13', 'I35']	2
103	0.145756	['F13', 'I36']	2
104	0.146094	['F13', 'I37']	2
105	0.146013	['F13', 'I38']	2
106	0.145838	['F13', 'I39']	2
107	0.329653	['F14', 'F16']	2
108	0.329653	['F14', 'F19']	2
109	0.329653	['F14', 'F2']	2
110	0.329653	['F14', 'F3']	2
111	0.329653	['F14', 'F5']	2
112	0.329653	['F14', 'F7']	2
113	0.329653	['F14', 'F8']	2
114	0.329653	['F14', 'F9']	2
115	0.331191	['F15', 'F16']	2
116	0.331191	['F15', 'F17']	2
117	0.331191	['F15', 'F18']	2
118	0.331191	['F15', 'F19']	2
119	0.331191	['F15', 'F2']	2
120	0.331191	['F15', 'F3']	2
121	0.331191	['F15', 'F5']	2
122	0.331191	['F15', 'F6']	2
123	0.331191	['F15', 'F7']	2
124	0.331191	['F15', 'F8']	2
125	0.331191	['F15', 'F9']	2
126	0.331191	['F16', 'F17']	2
127	0.331191	['F16', 'F18']	2
128	0.660844	['F16', 'F19']	2
129	0.660844	['F16', 'F2']	2
130	0.660844	['F16', 'F3']	2
131	0.660844	['F16', 'F5']	2
132	0.331191	['F16', 'F6']	2
133	0.660844	['F16', 'F7']	2
134	0.660844	['F16', 'F8']	2
135	0.660844	['F16', 'F9']	2
136	0.331191	['F17', 'F18']	2
137	0.331191	['F17', 'F19']	2
138	0.331191	['F17', 'F2']	2
139	0.331191	['F17', 'F3']	2
140	0.331191	['F17', 'F5']	2
