	support	itemsets	length
0	0.6417	['F0']	1
1	0.4465	['F1']	1
2	0.4524	['F11']	1
3	0.4524	['F12']	1
4	0.4524	['F13']	1
5	0.8989	['F2']	1
6	0.4524	['F3']	1
7	0.4465	['F4']	1
8	0.4524	['F5']	1
9	0.8989	['F6']	1
10	0.4465	['F7']	1
11	0.577	['F8']	1
12	0.8989	['F9']	1
13	0.1893	['F0', 'F1']	2
14	0.4524	['F0', 'F11']	2
15	0.4524	['F0', 'F12']	2
16	0.4524	['F0', 'F13']	2
17	0.6417	['F0', 'F2']	2
18	0.4524	['F0', 'F3']	2
19	0.1893	['F0', 'F4']	2
20	0.4524	['F0', 'F5']	2
21	0.6417	['F0', 'F6']	2
22	0.1893	['F0', 'F7']	2
23	0.3198	['F0', 'F8']	2
24	0.6417	['F0', 'F9']	2
25	0.4465	['F1', 'F2']	2
26	0.4465	['F1', 'F4']	2
27	0.4465	['F1', 'F6']	2
28	0.4465	['F1', 'F7']	2
29	0.4465	['F1', 'F8']	2
30	0.4465	['F1', 'F9']	2
31	0.4524	['F11', 'F12']	2
32	0.4524	['F11', 'F13']	2
33	0.4524	['F11', 'F2']	2
34	0.4524	['F11', 'F3']	2
35	0.4524	['F11', 'F5']	2
36	0.4524	['F11', 'F6']	2
37	0.1305	['F11', 'F8']	2
38	0.4524	['F11', 'F9']	2
39	0.4524	['F12', 'F13']	2
40	0.4524	['F12', 'F2']	2
41	0.4524	['F12', 'F3']	2
42	0.4524	['F12', 'F5']	2
43	0.4524	['F12', 'F6']	2
44	0.1305	['F12', 'F8']	2
45	0.4524	['F12', 'F9']	2
46	0.4524	['F13', 'F2']	2
47	0.4524	['F13', 'F3']	2
48	0.4524	['F13', 'F5']	2
49	0.4524	['F13', 'F6']	2
50	0.1305	['F13', 'F8']	2
51	0.4524	['F13', 'F9']	2
52	0.4524	['F2', 'F3']	2
53	0.4465	['F2', 'F4']	2
54	0.4524	['F2', 'F5']	2
55	0.8989	['F2', 'F6']	2
56	0.4465	['F2', 'F7']	2
57	0.577	['F2', 'F8']	2
58	0.8989	['F2', 'F9']	2
59	0.4524	['F3', 'F5']	2
60	0.4524	['F3', 'F6']	2
61	0.1305	['F3', 'F8']	2
62	0.4524	['F3', 'F9']	2
63	0.4465	['F4', 'F6']	2
64	0.4465	['F4', 'F7']	2
65	0.4465	['F4', 'F8']	2
66	0.4465	['F4', 'F9']	2
67	0.4524	['F5', 'F6']	2
68	0.1305	['F5', 'F8']	2
69	0.4524	['F5', 'F9']	2
70	0.4465	['F6', 'F7']	2
71	0.577	['F6', 'F8']	2
72	0.8989	['F6', 'F9']	2
73	0.4465	['F7', 'F8']	2
74	0.4465	['F7', 'F9']	2
75	0.577	['F8', 'F9']	2
76	0.1893	['F0', 'F1', 'F2']	3
77	0.1893	['F0', 'F1', 'F4']	3
78	0.1893	['F0', 'F1', 'F6']	3
79	0.1893	['F0', 'F1', 'F7']	3
80	0.1893	['F0', 'F1', 'F8']	3
81	0.1893	['F0', 'F1', 'F9']	3
82	0.4524	['F0', 'F11', 'F12']	3
83	0.4524	['F0', 'F11', 'F13']	3
84	0.4524	['F0', 'F11', 'F2']	3
85	0.4524	['F0', 'F11', 'F3']	3
86	0.4524	['F0', 'F11', 'F5']	3
87	0.4524	['F0', 'F11', 'F6']	3
88	0.1305	['F0', 'F11', 'F8']	3
89	0.4524	['F0', 'F11', 'F9']	3
90	0.4524	['F0', 'F12', 'F13']	3
91	0.4524	['F0', 'F12', 'F2']	3
92	0.4524	['F0', 'F12', 'F3']	3
93	0.4524	['F0', 'F12', 'F5']	3
94	0.4524	['F0', 'F12', 'F6']	3
95	0.1305	['F0', 'F12', 'F8']	3
96	0.4524	['F0', 'F12', 'F9']	3
97	0.4524	['F0', 'F13', 'F2']	3
98	0.4524	['F0', 'F13', 'F3']	3
99	0.4524	['F0', 'F13', 'F5']	3
100	0.4524	['F0', 'F13', 'F6']	3
101	0.1305	['F0', 'F13', 'F8']	3
102	0.4524	['F0', 'F13', 'F9']	3
103	0.4524	['F0', 'F2', 'F3']	3
104	0.1893	['F0', 'F2', 'F4']	3
105	0.4524	['F0', 'F2', 'F5']	3
106	0.6417	['F0', 'F2', 'F6']	3
107	0.1893	['F0', 'F2', 'F7']	3
108	0.3198	['F0', 'F2', 'F8']	3
109	0.6417	['F0', 'F2', 'F9']	3
110	0.4524	['F0', 'F3', 'F5']	3
111	0.4524	['F0', 'F3', 'F6']	3
112	0.1305	['F0', 'F3', 'F8']	3
113	0.4524	['F0', 'F3', 'F9']	3
114	0.1893	['F0', 'F4', 'F6']	3
